Site_Name,Common_Name,Latitude,Longitude,Date,Time
Jongowe,Mayale,-5.87126,39.20969,3/19/2026,6:54:38
Uroa,Chama Kangu,-6.0922,39.44084,3/20/2026,6:00:36
Kendwa,Chumani,-5.75634,39.27444,3/18/2026,6:57:31
Fukuchani,Wamba Mrefu,-5.828831,39.280629,3/18/2026,7:57:31
