governance,sites,lat,lon
Open Access,VIULU,10°11.648’,40°13.136’
Open Access,NUSURA,10°13.228’,40°12.791’
Open Access,MMALUKO(MGAO),10°06.574’,39°59.578’
MBREMP,CHAMBA CHA KATI,10°19.087’,40°09.059’
MBREMP,MATENGA,10°19.389’,40°21.762’
MBREMP,KIETI,10°16.450’,40°20.514’
MBREMP,MEMBELWA INNER,10°16.441’,40°20.510’
MBREMP,RASMO,10°20.863’,40°22.839’
